id,nombre,tipo,edad,modulo
0,Juan,Alumno,23
1,Ana,Profesor,null,Programación
2,Juan,Profesor,null,Programación
3,Pepe,Profesor,null,Entornos
4,Juan,Profesor,null,Entornos
5,Juan,Alumno,39
6,Pepe,Profesor,null,Programación
7,Ana,Alumno,20
8,Pepe,Profesor,null,Entornos
9,Juan,Profesor,null,Entornos
10,Juan,Profesor,null,Programación
11,Juan,Profesor,null,Entornos
12,Juan,Alumno,19
13,Ana,Profesor,null,Entornos
14,Pepe,Alumno,31
15,Pepe,Profesor,null,Entornos
16,Juan,Profesor,null,Programación
17,Ana,Profesor,null,Programación
18,Pepe,Profesor,null,Entornos
19,Ana,Profesor,null,Entornos
